eccentricity	inclination	objectname	occurance	semimajor_axis
0.0495011	1.97072739153	29101	6	2.7250189
0.1908191	2.35733209594	381188	9	2.3608119
0.1225937	11.4206834616	72705	2	3.0463416
0.0630079	8.67929512022	91683	2	2.999135
0.0468815	0.592964607098	65888	10	2.795914
0.0597126	9.07342692901	241998	4	3.1627656
0.1064653	16.9483731735	308481	1	3.1791203
0.2139146	5.06515338067	173303	3	2.5650169
0.1094404	5.24291614297	26625	3	3.1491478
0.132718	13.9813707992	26627	6	2.6023867
0.1472554	13.5279454568	26626	1	2.5639038
0.1739487	7.65033307267	221371	7	2.5829004
0.1946045	16.7750442825	257659	4	3.1059457
0.050739	4.41949081584	126607	11	2.7974142
0.1457374	5.29832050442	126603	7	2.291617
0.1932131	7.72601355785	180758	3	2.7760745
0.2547639	14.2386979674	288688	2	3.1832459
0.2025384	10.0879343332	249235	2	3.1491078
0.0811283	11.5335790675	261037	3	3.053115
0.1577569	11.5712346497	110634	3	2.6695782
0.1634686	1.61017177325	374926	2	2.4242786
0.1057417	6.56282499315	374925	5	2.3944661
0.2095767	2.26666792596	166156	2	2.3565962
0.1723071	1.39773739415	239297	3	2.4403533
0.1717748	2.59581378576	239292	2	2.4333518
0.1483424	1.64177166041	144343	7	2.4297754
0.0481721	0.625223954216	120605	10	2.7750136
0.0801237	9.81448990623	92088	1	3.0678957
0.1310532	13.6964294058	69418	1	2.5565301
0.0864388	14.7608635442	26564	3	2.5907076
0.0922665	15.0097077307	69413	3	2.5541172
0.0511528	2.05858175824	315015	4	2.9341888
0.0708739	3.80834343745	218973	3	2.7662061
0.1726797	2.57949076264	218975	8	2.451516
0.1563016	1.47467542435	218977	6	2.4037527
0.0591493	2.099626828	218978	9	2.9068806
0.1661473	7.75072683184	266679	5	2.5716717
0.1997012	8.01524025267	304224	8	2.7874291
0.182186	2.36189097588	214537	1	2.464585
0.0947855	6.75993544817	214536	1	2.3771542
0.1823497	2.42053270536	65268	4	2.3540297
0.0660354	10.1847105386	303909	6	3.0910299
0.0847802	6.1892483676	214532	1	2.357352
0.0439702	2.07109182021	155405	2	2.834132
0.1670861	1.8286244776	92886	6	2.4218614
0.1005398	6.34848014531	77024	7	2.4034727
0.1985022	2.28000542141	77021	1	2.330986
0.1575281	1.42654300177	184505	3	2.4517615
0.1394976	8.77189689096	317554	5	2.576703
0.0502108	0.651123253296	81508	3	2.7827446
0.1385297	12.8841761719	114449	2	2.5922609
0.0874043	4.84723328836	81500	15	2.7297148
0.0426131	4.41219833367	192160	6	2.7808888
0.147194	1.323575739	159097	1	3.1909515
0.048832	4.43974234071	93688	5	2.7868281
0.1981477	8.07244569077	292700	1	2.8024537
0.1392123	8.52350892846	292701	1	2.5678447
0.0992575	2.13634986312	224925	1	2.9261328
0.1582267	3.53848139275	172165	13	2.5830334
0.1207989	5.4206144221	116333	4	3.1062473
