object expnum ra dec flux mag x y time consistent_f consistent_mag diff_ra diff_dec a b theta
304757 1705894p 237.880655461 -13.5514988194 16189.2949219 21.3639301632 204.382826912 205.45808406 56783.4218457 yes yes -0.259658312746 -0.304250290734 3.61211323738 1.18279898167 0.0889738798141
304757 1705894p 237.880655461 -13.5514988194 16189.2949219 21.3639301632 204.382826912 205.45808406 56783.4218457 yes yes -0.259658312746 -0.304250290734 3.61211323738 1.18279898167 0.0889738798141
304757 1705896p 237.877504112 -13.5512731268 17577.6132812 21.2786002363 202.439592331 206.062200074 56783.4377286 yes yes -0.314802590651 -0.216743477681 3.74645900726 1.14585983753 0.0662699118257
304757 1705908p 237.868215398 -13.5505790795 18526.0234375 21.2355444771 198.383411258 201.047443959 56783.4846079 yes yes -0.325433182149 -0.315313682767 3.48442173004 1.15747773647 0.0799938589334
304757 1705909p 237.867420793 -13.5505479996 19681.9511719 21.1578296249 197.672431393 205.277689159 56783.4885735 yes yes -0.314855548481 -0.227201617884 3.51014876366 1.32424724102 0.029696309939
304757 1705923p 237.853098806 -13.5494560854 17768.7675781 21.2558567333 189.976627244 199.934873631 56783.5607609 yes yes -0.205703270456 -0.358092698783 3.59622740746 1.16403448582 0.0114819519222
304757 1716959p 232.907403433 -13.319570116 15172.8203125 21.7083342134 212.775544573 189.924066072 56808.4043144 yes yes -0.402358955012 0.152417743968 3.70582437515 1.62767934799 0.0170433241874
376328 1667864p 15.1251974523 5.34759668573 12758.9208984 21.7454651376 597.856684886 586.46472454 56597.279533 yes yes -0.560828117828 0.251931356832 3.13043999672 1.25768530369 -0.158921867609
376328 1668257p 14.4596626695 5.22888786845 10719.6152344 21.8595520069 356.005197788 390.811639948 56601.4455169 yes yes -0.135610347802 -0.0963264100164 3.14347815514 1.34167993069 -0.174076586962
304757 1716959p 232.907403433 -13.319570116 15172.8203125 21.7083342134 212.775544573 189.924066072 56808.4043144 yes yes -0.402358955012 0.152417743968 3.70582437515 1.62767934799 0.0170433241874
318255 1646368p 246.210752675 -13.064536801 3082.80224609 23.3186358332 103.505186693 191.215336007 56513.2801924 yes yes 0.140371754924 -0.167516254372 1.26635301113 1.16872251034 0.454014658928
329647 1736286p 16.315520327 3.91219059788 64544.03125 19.909359783 238.511592582 190.119222642 56897.4206595 yes yes 0.0768226671525 -0.0861523717886 2.38408470154 1.58197557926 0.399299502373
333502 1645758p 12.9087063172 4.88334568604 6578.76318359 22.4286393667 171.11466165 189.219634783 56509.491483 yes yes 0.157257928765 -0.244469750984 1.52747023106 1.44520020485 0.189770698547
333502 1645770p 12.9075377027 4.88426780645 10817.5166016 21.9266810741 143.775047919 188.959058198 56509.539939 no yes 0.164270448898 -0.16410322185 2.23823833466 1.88392901421 -0.386338055134
333502 1645771p 12.9074343886 4.88436861041 11819.6826172 21.8154854625 140.963986504 189.123044142 56509.5446679 no yes 0.086201145978 -0.226997468246 2.14034628868 1.78530550003 -0.253528654575
363057 1645482p 217.782204661 -13.0173637649 6073.91308594 22.4793285672 218.412193386 195.146905944 56508.2619413 yes yes -0.136777954083 0.109553572665 3.38981151581 1.14753103256 0.245558142662
363057 1646182p 218.647477792 -13.2076453424 5522.45507812 22.5186695204 125.552777527 191.963470019 56512.2679509 yes yes 0.0799499349796 0.22323271557 3.12178063393 1.02150297165 0.233488470316
363444 1645168p 216.130340514 -14.1558745433 13363.1572266 21.6632273045 162.346622398 191.680086671 56506.2768206 yes yes 0.424148457591 -0.251644198759 3.59881329536 1.27471876144 0.146897494793
363444 1645823p 217.007858501 -14.302974451 12258.5693359 21.7239005305 166.344360767 190.417470716 56510.257681 yes yes 0.209396373521 -0.291976281034 3.74585914612 1.28562188148 0.163284525275
363444 1645955p 217.237941768 -14.3432206349 6814.88378906 22.368353864 165.098845047 191.575675339 56511.2575707 yes yes 0.809635841301 -0.405714222065 2.41380763054 1.41249036789 0.205861106515
