eccentricity	inclination	object_name	semimajor_axis
0.0754176	21.6194340082	29996	1.9210667
0.0728397	21.5088539307	30234	1.9097976
0.0721098	20.9973395716	31091	1.9599183
0.0616815	20.7646357948	31182	1.9340244
0.0735642	20.8107591417	31850	1.9285884
0.0740748	20.4389722319	31986	1.9685269
0.0759197	20.6496032094	32504	1.9528471
0.0891616	20.5690097926	32928	1.9313357
0.0746953	20.6243358961	33319	1.9450055
0.0780797	20.6796698654	33326	1.9438411
0.0804253	20.9479624931	33327	1.9730567
0.0675307	21.2106646327	33332	1.9438922
0.0747677	20.8594227423	33339	1.9526956
0.062724	20.8780573813	33831	1.9379356
0.0660548	20.2556089911	33896	1.9252574
0.0791356	20.863316265	35055	1.9411639
0.0828483	21.0662628508	35087	1.932656
0.0659142	21.1676862881	35134	1.9610916
0.0686789	21.0012612296	35669	1.9441883
0.0556138	20.8379948423	36298	1.930965
0.0854874	20.9456434537	36448	1.9091642
0.0744702	20.7929479512	37561	1.9437261
0.069872	20.9677248663	37634	1.9260178
0.0839966	20.6063323568	37651	1.9438382
0.0877116	20.1776448506	37744	1.9631732
0.0697813	20.7877202205	38044	1.932234
0.0648643	20.3195958108	38047	1.9254732
0.0694036	20.4390456061	38049	1.9731186
0.0751263	21.2287101703	38682	1.9701933
0.077728	20.7922554044	39618	1.9320684
0.0815369	20.843696389	39665	1.9308233
0.0764059	21.2278373449	39787	1.9234118
0.0715384	21.0634200864	39791	1.946222
0.0753997	20.6257806791	39866	1.9622694
0.0715508	20.747534636	40229	1.9267914
0.0883773	20.3737808032	40247	1.9442233
0.0836589	21.1688106696	40253	1.9500814
0.0817395	21.0009789159	40256	1.9099932
0.069159	21.0563226223	40264	1.956246
0.0694027	20.7205664037	41685	1.9165511
0.0831127	20.9556376655	43357	1.9238711
0.0794942	21.048513347	43606	1.9360691
0.0755484	21.3338189624	44047	1.9157476
0.0888509	21.1679197655	44588	1.9332314
0.0760003	20.6051203622	45825	1.9527755
0.0822695	21.0275801245	45874	1.9570914
0.0713746	21.049587712	45878	1.9344588
0.0790388	20.3824049801	45898	1.9559194
0.0859515	20.6014538313	45950	1.9598619
