object expnum p_ra p_dec ra dec p_x p_y x y x_mid y_mid xmin xmax ymin ymax a b theta p_f f consistent_f p_mag mag flux consistent_mag date_time
299121 1607617p 212.947666667 -10.9541388889 212.947582727 -10.9540230365 280.541260298 546.345216206 278.918579933 544.036582637 278.5 544.0 271 286 534 554 5.46109056473 2.25444889069 0.972873032093 4.59500093943 4.97402958932 yes 21.064 20.9131117638 27666.5683594 yes 2013-02-08-0.00193478009169
299121 1607631p 212.95825 -10.9689722222 212.958195478 -10.9688650821 489.212543522 843.794371727 488.159768917 841.67195974 488.0 841.5 481 495 833 850 5.08770465851 2.0382130146 0.976755678654 4.57447182643 4.66159054394 yes 21.064 21.3467361971 19467.2910156 yes 2013-02-08-0.00193506944197
299121 1609158p 213.996541667 -12.5709444444 213.996477064 -12.5707888741 949.085824856 852.950868949 947.869041467 849.922243708 948.0 850.5 943 953 843 858 4.22788333893 1.68535637856 1.17801046371 4.22694779077 3.87744392672 yes 21.064 21.8783451027 8975.56835938 yes 2013-02-15-0.00193246527851
299121 1609293p 214.115458333 -12.8018333333 214.115524676 -12.8018568211 827.513737161 872.79976906 826.265696135 872.334280047 826.5 872.5 822 831 865 880 3.93414354324 1.78986334801 1.16035807133 4.18658839752 3.503408999 yes 21.064 22.0900621984 8677.11035156 yes 2013-02-16-0.00197384259081
299121 1609429p 214.230625 -13.043 214.230661135 -13.0429742266 829.264728812 874.783371244 828.577410929 875.277272683 829.0 875.5 823 835 865 886 5.09977817535 2.66271901131 1.30410027504 4.13090368217 4.34944420641 yes 21.064 20.8829609479 25282.2441406 yes 2013-02-17-0.0019339120372
299121 1609430p 214.231083333 -13.0441111111 214.231131042 -13.0441176456 831.761870167 876.162537829 830.865263365 876.029058826 831.0 876.0 825 837 866 886 4.56838989258 2.40034818649 1.19075930119 4.12857817568 3.88696730038 yes 21.064 20.9936384046 21347.3828125 yes 2013-02-17-0.00197384259445
306013 1607615p 213.122541667 -13.8962222222 213.12261381 -13.8961631935 715.124031376 462.225576099 713.740707518 463.37767301 714.0 463.0 707 721 454 472 4.93395757675 2.12759447098 1.02382028103 4.17523082718 4.45166026739 yes 20.7081818182 20.9499582925 27695.9765625 yes 2013-02-08-0.00193506944197
306013 1607628p 213.130458333 -13.9093888889 213.13052858 -13.9093293898 571.453205259 202.192589251 570.105975253 203.355195182 570.5 203.0 564 577 194 212 4.89201879501 2.25003552437 1.08409225941 4.15232613085 4.34386786515 yes 20.7081818182 21.064072634 25070.9589844 yes 2013-02-08-0.00193506944561
306013 1607629p 213.131083333 -13.9104166667 213.131164067 -13.9103837828 559.920858684 181.983495872 558.384274605 182.623592595 558.0 183.0 552 564 174 192 4.67775440216 2.01626133919 1.06113898754 4.15098438665 4.22090943507 yes 20.7081818182 21.1254037973 23476.7773438 yes 2013-02-08-0.00197384259445
310240 1625239p 238.247083333 -11.92475 238.24719747 -11.9246589514 528.11308274 735.848750318 530.267257112 734.092212081 530.5 734.0 517 544 727 741 7.23233556747 1.51090431213 -0.334232658148 6.29853919553 7.07275377206 yes 19.64 19.743889742 84887.5703125 yes 2013-05-07-0.0019382523169
310240 1625249p 238.230541667 -11.9303888889 238.230690124 -11.9302984018 212.783969037 845.457679783 215.588640312 843.712563126 215.5 843.5 202 229 837 850 7.063788414 1.5181324482 -0.332171827555 6.29493215009 6.89872311573 yes 19.64 19.8588716635 76639.265625 yes 2013-05-07-0.00193912036775
310240 1625901p 237.126875 -12.3200555556 237.127061917 -12.3200299688 279.633269914 879.937326615 276.08174312 880.462603974 275.5 881.0 260 291 873 889 7.5328412056 2.03270673752 -0.328080385923 6.5287623965 7.25339919955 yes 19.64 19.5330196663 104325.898438 yes 2013-05-10-0.00193304397908
